First Name,Family Name,Sail Number,Craft Type,Boat Name
,,173,TBC,
,,274,TBC,
Bob,Hill,61,TBC,
Alex,Montgomery,1,Boat,Catapult
John,Peperell,13/501,Boat,Catapult
Alan,Blundell,18,Boat,Tri Scaph (Vari-Scari)
Dick,Ogilvie,25,Boat,Catamaran (Concept 25)
George,Chapman,28,Boat,
Hywel,Price,30,Boat,Foiler 21 (Boomerang)
James/Nick,Paine/Povey,50,Boat,Hurricane 4.9
Slade,Penoyre,79,Boat,Catapult
Chris/Philip,Evans/Middleton,99,Boat,Trimaran (Triton Chariot)
Torix,Bennett,101,Boat,Tri-Scaph (Sea Spider)
John,Lindley,138,Boat,Trifoiler
Bob,Date,458,Boat,Keiper Foiled Dart 18 (Flashback)
Reg,Trigg,,Boat,Trimaran (D'Arcey Sailfly)
Matthew,Brown,3,Sailboard,
Graham,Holbert,5,Sailboard,
Angus,Hitchin,7,Sailboard,
Les,Paley,8,Sailboard,
Mike,Pearce,9,Sailboard,
Tony,Morris,11,Sailboard,
Stephen,Corps,15,Sailboard,
Jim,Paine,17,Sailboard,
Richard,Ashenden,19,Sailboard,
Emma,,23,Sailboard,
Trevor,Whatford,27,Sailboard,
Pete,Young,34,Sailboard,
John,May,37,Sailboard,
Pierre,Saville,38,Sailboard,
Stacey,Vass,47,Sailboard,
Lee,Birch,48,Sailboard,
James,Crocker,64,Sailboard,
Rob,Gough,66,Sailboard,
Kim,Newman,68,Sailboard,
Richard,Eagle,69,Sailboard,
Martin,Gold,73,Sailboard,
June,Gold,74,Sailboard,
Roger,Crabb,88,Sailboard,
Nick,Povey,111,Sailboard,
Richard,Trubger,124,Sailboard,
Matthew,Spooner,150,Sailboard,
Sean,Carroll,171,Sailboard,
Peter,Martin,181,Sailboard,
David,Goodrich,197,Sailboard,
Richard,Jones,213,Sailboard,
Bernard,Merryweather,232,Sailboard,
Nick,Beaney,381,Sailboard,
Steve,Meech,471,Sailboard,
Danny,Norris,622,Sailboard,
Danny/Will,Norris/Oscroft,6222,Sailboard,Tandem
Bob,Spagnoletti,639,Sailboard,
Robin,Ball,12,Sailboard,
Chris,Shaw,505,Sailboard,
