Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type,Status
150,1,601,2023-10-07,2023-10-13,POV601NIC,Nick,Povey,Boat,Boat Fleet
1151,2,607,2023-10-07,2023-10-13,GEO607MIC,Michael,George,Sailboard,Pro-Fleet
1152,3,611,2023-10-07,2023-10-13,YOR611MAT,Matthew,York,Sailboard,Gold-Fleet
1153,4,615,2023-10-07,2023-10-13,BRA615JAM,James,Brake,Sailboard,Gold-Fleet
1154,5,617,2023-10-07,2023-10-13,RAM617SIM,Simon,Ramsden,Sailboard,Amateur
2156,6,618,2023-10-07,2023-10-13,LON618JAM,james,longmuir,Kiteboard,Open Class
1157,7,619,2023-10-07,2023-10-13,STU619AND,Andy,Stuart-William,Sailboard,Gold-Fleet
3157,7,845,2023-10-07,2023-10-13,STU845AND,Andy,Stuart-William,Wingboard,Amateur
3159,8,625,2023-10-07,2023-10-13,HOB625RIC,Richard,Hobson,Wingboard,Pro-Fleet
1161,10,631,2023-10-07,2023-10-13,OLI631JOH,John,Oliver,Sailboard,Gold-Fleet
1162,11,632,2023-10-07,2023-10-13,CRO632PET,Peter,Crosby,Sailboard,Gold-Fleet
1163,12,633,2023-10-07,2023-10-13,PEA633ZAC,Zack,Peaple,Sailboard,Amateur
1164,13,634,2023-10-07,2023-10-13,CRO634RIC,Richard,Crosby,Sailboard,Gold-Fleet
1165,14,635,2023-10-07,2023-10-13,BAT635TIM,Tim,Bate,Sailboard,Amateur
1166,15,639,2023-10-07,2023-10-13,PET639SIM,Simon,Pettifer,Sailboard,Pro-Fleet
3167,16,641,2023-10-07,2023-10-13,CUN641CHR,Chris,Cunningham,Wingboard,Amateur
1169,17,642,2023-10-07,2023-10-13,FUL642GEO,George,Fulton,Sailboard,Gold-Fleet
1172,18,643,2023-10-07,2023-10-13,CON643GAR,Garry,Connell,Sailboard,Pro-Fleet
1173,19,647,2023-10-07,2023-10-13,PLA647CHR,Chris,Platt,Sailboard,Amateur
1174,20,648,2023-10-07,2023-10-13,LIL648MAT,Matthew,Lilley,Sailboard,Amateur
1177,21,651,2023-10-07,2023-10-13,TRO651WIL,Will,Trossell,Sailboard,Gold-Fleet
1180,22,652,2023-10-07,2023-10-13,DEB652JEA,Jean-Marc,De Bruyne,Sailboard,Pro-Fleet
1181,23,653,2023-10-07,2023-10-13,CAR653BOB,Bob,Cartridge,Sailboard,Pro-Fleet
1182,24,656,2023-10-07,2023-10-13,BRI656AND,Andy,Bridge,Sailboard,Amateur
1183,25,660,2023-10-07,2023-10-13,WHA660TRE,Trevor,Whatford,Sailboard,Gold-Fleet
3184,26,661,2023-10-07,2023-10-13,MAG661SIM,Simon,Maguire,Wingboard,Amateur
1185,27,662,2023-10-07,2023-10-13,CAR662DAN,Danny,Cartridge,Sailboard,Gold-Fleet
1186,28,0,2023-10-07,2023-10-13,BRO0MAR,Martin,Brooks,Sailboard,Amateur
1187,29,663,2023-10-07,2023-10-13,RUS663ROB,Robin,Russell,Sailboard,Gold-Fleet
3188,30,664,2023-10-07,2023-10-13,GOR664DEN,Denis,Gordo,Wingboard,Amateur
3189,31,665,2023-10-07,2023-10-13,SAN665SIM,Simon,Sanderson,Wingboard,Pro-Fleet
1190,32,668,2023-10-07,2023-10-13,OWE668AND,Andrew,Owen,Sailboard,Amateur
1191,33,669,2023-10-07,2023-10-13,HAR669SCO,Scott,Harrison,Sailboard,Gold-Fleet
3192,34,693,2023-10-07,2023-10-13,PER693SIM,Simon,Perkins,Wingboard,Amateur
1193,35,694,2023-10-07,2023-10-13,MAR694EDD,Eddie,Marsh,Sailboard,Gold-Fleet
1194,36,695,2023-10-07,2023-10-13,TWI695AND,Andrew,Twinn,Sailboard,Gold-Fleet
3195,37,699,2023-10-07,2023-10-13,WAK699PAU,Paul,Wakelin,Wingboard,Pro-Fleet
1196,38,700,2023-10-07,2023-10-13,WAT700STE,Steve,Watson,Sailboard,Amateur
1197,39,701,2023-10-07,2023-10-13,BIN701NEI,Neil,Binding,Sailboard,Amateur
2198,40,705,2023-10-07,2023-10-13,HOR705PHI,Phil,Horder,Kiteboard,Freeride
3199,41,712,2023-10-07,2023-10-13,SAL712MAR,Mark,Salvage,Wingboard,Amateur
2200,42,717,2023-10-07,2023-10-08,WAD717ALF,Alfie,Wade,Kiteboard,Freeride
1201,43,718,2023-10-07,2023-10-13,TRU718STU,Stuart,Trunkfield,Sailboard,Gold-Fleet
2202,44,801,2023-10-07,2023-10-13,WIL801DAV,Dave,Williams,Kiteboard,Open Class
3203,45,802,2023-10-07,2023-10-13,MCC802MAR,Mark,McCafferty,Wingboard,Amateur
1204,46,803,2023-10-07,2023-10-13,TRU803JOE,Joe,Trunkfield,Sailboard,Amateur
1205,47,804,2023-10-07,2023-10-08,ING804JON,Jonathan,Ingram,Sailboard,Amateur
1206,48,805,2023-10-07,2023-10-13,ING805MAR,Mark,Ingram,Sailboard,Gold-Fleet
1207,49,806,2023-10-07,2023-10-08,JEN806JEN,Jenna,Jenkins,Sailboard,Amateur
1208,50,807,2023-10-07,2023-10-13,STR807DAV,Dave,Strudwick,Sailboard,Gold-Fleet
1209,51,808,2023-10-07,2023-10-13,TUR808AND,Andy,Turvey,Sailboard,Gold-Fleet
1210,52,810,2023-10-07,2023-10-13,KIR810JON,Jonny,Kirton,Sailboard,Amateur
1211,53,811,2023-10-07,2023-10-13,THO811RUS,Russell,Thompson,Sailboard,Amateur
1212,54,812,2023-10-07,2023-10-13,ADC812MIA,Mia,Adcock,Sailboard,Amateur
3212,54,838,2023-10-07,2023-10-13,ADC838MIA,Mia,Adcock,Wingboard,Amateur
1213,55,813,2023-10-07,2023-10-13,DUN813ROB,Rob,Dunn,Sailboard,Amateur
1214,56,814,2023-10-07,2023-10-13,DUN814TRI,Trish,Dunn,Sailboard,Amateur
1215,57,815,2023-10-07,2023-10-13,SPA815BOB,Bob,Spagnoletti,Sailboard,Gold-Fleet
1216,58,816,2023-10-07,2023-10-13,PIN816JOS,Joshua,Pinder,Sailboard,Amateur
1217,59,817,2023-10-07,2023-10-13,LON817ROB,Rob,Longstaff,Sailboard,Amateur
3218,60,818,2023-10-07,2023-10-08,STA818JOH,John-Paul,Standish,Wingboard,Amateur
1219,61,819,2023-10-07,2023-10-13,HIL819IAN,Ian,Hill,Sailboard,Gold-Fleet
1220,62,0,2023-10-07,2023-10-13,ARN0SPE,Spenser,Arnold,Sailboard,Amateur
2221,63,821,2023-10-07,2023-10-13,VAS821STA,Stacey,Vass,Kiteboard,Open Class
1222,64,822,2023-10-07,2023-10-08,CHI822DYL,Dylan,Chick,Sailboard,Amateur
3223,65,823,2023-10-07,2023-10-13,MOU823EME,Emeric,Mouret,Wingboard,Pro-Fleet
2224,66,0,2023-10-07,2023-10-13,DAV0STE,Steve,Davison,Kiteboard,Open Class
1225,67,0,2023-10-07,2023-10-13,CRO0JIM,Jim,Crossley,Sailboard,Pro-Fleet
1226,68,0,2023-10-07,2023-10-13,YEL0LIL,Lilia,Yelland,Sailboard,Amateur
1227,69,0,2023-10-07,2023-10-13,BUK0MAC,Maciej,Bukolt,Sailboard,Amateur
1228,70,0,2023-10-07,2023-10-13,ARN0PAU,Paul,Arnold,Sailboard,Amateur
3229,71,0,2023-10-07,2023-10-13,ADA0JOE,Joe,Adams,Wingboard,Amateur
