Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type,Status
1,100,601,2022-10-15,2022-10-21,GEO100MIC,Michael,George,Sailboard,Pro Fleet
2,101,611,2022-10-15,2022-10-21,DEB101JEA,Jean-Marc,De Bruyne,Sailboard,Pro Fleet
5,102,615,2022-10-15,2022-10-21,THO102NEI,Neil,Thompson,Kiteboard,Open Class
7,103,617,2022-10-15,2022-10-21,PET103SIM,Simon,Pettifer,Sailboard,Pro Fleet
15,104,618,2022-10-15,2022-10-21,BUR104EMI,Emile,Burnaby Lautier,Kiteboard,Open Class
22,105,0,2022-10-15,2022-10-21,WAD105ALF,Alfie,Wade,Kiteboard,Freeride
31,106,621,2022-10-15,2022-10-21,SPR106NIG,Nigel,Spriggs,Sailboard,Pro Fleet
32,107,625,2022-10-15,2022-10-21,BUR107EMI,Emile Jan,Burnaby Lautier,Kiteboard,Open Class
38,108,630,2022-10-15,2022-10-21,TRU108STU,Stuart,Trunkfield,Sailboard,Pro Fleet
44,109,631,2022-10-15,2022-10-21,CAR109MAR,Martin,Carter,Kiteboard,Open Class
50,110,632,2022-10-15,2022-10-21,YOU110PET,Pete,Young,Sailboard,Pro Fleet
52,111,0,2022-10-15,2022-10-21,HOR111PHI,Phil,Horder,Kiteboard,Freeride
55,112,634,2022-10-15,2022-10-21,WIL112DAV,David,Williams,Kiteboard,Open Class
65,113,635,2022-10-15,2022-10-21,CON113GAR,Garry,Connell,Sailboard,Pro Fleet
66,114,639,2022-10-15,2022-10-21,NEW114MAR,Mark,Newman,Sailboard,Pro Fleet
67,115,656,2022-10-15,2022-10-21,LON115JAM,James,Longmuir,Kiteboard,Open Class
82,116,619,2022-10-15,2022-10-21,GAU116BEN,Benoit,Gaudiot,Kiteboard,Open Class
87,117,0,2022-10-15,2022-10-21,MAR117PET,Peter,Martin,Kiteboard,Freeride
88,118,633,2022-10-15,2022-10-21,STA118SCO,Scotty,Stallman,Sailboard,Pro Fleet
91,119,0,2022-10-15,2022-10-21,VAN119PAT,Patrick,Van Hoof,Sailboard,Pro Fleet
